length,emoji_count,hashtag_count,exclamation_count,question_count,capitalized_word_count,sentence_count,avg_word_length,verb_count,noun_count,adjective_count,entity_count,has_numerical_list,word_count,buzzword_count,buzzword_ratio,humble_brag_count,personal_pronouns,motivation_score,excessive_punctuation,has_call_to_action,starts_with_number,contains_money_reference,sentiment_polarity,sentiment_subjectivity,is_extemely_positive,cringe_score
2177,1,0,6,0,0,23,4.427821522309712,57,92,34,18,0,426,0,0.0,0,15,0,0,1,0,1,0.05084496021996021,0.4564067314067314,0,0
463,1,0,0,0,0,14,3.5280898876404496,12,22,6,6,0,119,0,0.0,0,7,0,0,1,0,1,0.34761904761904766,0.5952380952380951,0,42
734,1,0,0,0,0,8,5.144230769230769,21,31,8,19,0,131,0,0.0,0,0,0,0,1,0,1,0.2726190476190476,0.5488095238095239,0,306
1949,0,0,3,0,0,20,4.461988304093567,49,87,31,17,0,377,0,0.0,0,13,0,0,1,1,1,-0.0013726961170143004,0.4287321264593991,0,0
2399,1,0,0,1,0,35,4.677835051546392,61,130,53,19,0,460,0,0.0,0,7,0,0,1,0,1,0.2507936507936508,0.4447802197802198,0,509
333,0,0,0,0,0,1,5.5,8,22,7,0,0,54,0,0.0,0,0,0,0,1,0,1,0.08818800247371676,0.5424860853432282,0,4
589,0,0,2,6,0,12,4.56701030927835,9,25,7,4,0,118,0,0.0,0,0,0,0,0,1,1,0.1708333333333333,0.45,0,18
784,1,0,0,0,1,12,4.251798561151079,26,23,8,7,0,161,0,0.0,0,1,0,0,1,0,1,0.07222222222222224,0.5481481481481482,0,13
458,3,0,0,0,0,8,3.9404761904761907,12,18,4,4,0,104,0,0.0,0,0,0,0,0,0,1,0.15357142857142858,0.625,0,9
1288,0,0,0,3,0,12,4.282700421940929,38,54,26,5,0,254,0,0.0,0,1,0,0,1,0,1,0.21385101010101015,0.45015151515151514,0,0
781,1,0,1,0,0,10,4.4,21,23,13,10,0,157,0,0.0,0,1,0,0,1,0,1,0.12303571428571429,0.5838263125763126,0,63
370,1,0,0,0,0,5,5.0344827586206895,10,13,4,8,0,67,0,0.0,0,2,0,0,0,0,1,0.225,0.6,0,7
391,2,0,0,2,0,7,4.369230769230769,8,16,7,3,0,84,0,0.0,0,0,0,0,0,1,1,0.3833333333333333,0.44999999999999996,0,51
669,1,0,0,1,0,11,4.485981308411215,14,31,9,10,0,135,0,0.0,0,0,0,0,1,1,1,0.22727272727272727,0.43863636363636366,0,229
532,0,0,0,0,0,8,5.2,10,28,8,9,0,92,0,0.0,0,1,0,0,0,0,1,-0.05185185185185185,0.2796296296296297,0,9149
557,1,0,0,0,0,6,4.795698924731183,22,13,10,3,0,102,0,0.0,0,2,0,0,1,0,1,0.1468650793650794,0.6115873015873016,0,300
679,1,0,1,1,0,7,4.418803418803419,14,31,13,8,0,139,0,0.0,0,4,0,0,1,0,1,0.12244897959183673,0.24931972789115647,0,455
1038,1,0,0,1,0,27,4.919254658385094,34,39,13,3,0,198,0,0.0,0,8,0,0,1,0,1,-0.13210227272727273,0.41278409090909096,0,368
122,0,0,0,0,0,1,4.777777777777778,2,3,5,3,0,23,0,0.0,0,0,0,0,0,0,1,0.19999999999999998,0.3,0,656
103,0,0,0,0,0,2,3.6363636363636362,6,5,2,1,0,23,0,0.0,0,0,0,0,0,0,0,0.20833333333333334,0.3,0,6
716,1,0,4,0,0,13,4.300813008130081,17,30,13,10,0,149,1,0.006711409395973154,2,4,0,0,0,0,1,0.20346531723484848,0.5393939393939394,0,2
714,1,0,0,0,0,7,4.357142857142857,27,26,8,5,0,146,0,0.0,0,7,0,0,1,0,1,0.1410493827160494,0.45154320987654323,0,15
1018,1,0,2,0,0,7,5.3618421052631575,23,41,6,3,0,171,0,0.0,0,3,0,0,1,0,1,0.16152389277389279,0.4513403263403264,0,1
163,1,0,0,0,0,3,4.72,5,7,2,5,0,32,0,0.0,0,0,0,0,0,0,1,0.55,0.7,0,237
305,1,0,1,0,0,3,5.217391304347826,7,16,5,4,0,55,0,0.0,0,0,0,0,0,0,1,0.13214285714285715,0.5857142857142857,0,23
609,1,0,0,0,1,13,4.465346534653466,16,33,10,0,0,124,0,0.0,0,0,0,0,1,0,0,0.16249999999999995,0.44929138321995465,0,0
649,1,0,0,0,0,11,5.2,13,34,11,2,0,114,0,0.0,0,1,1,0,1,0,1,0.3416666666666666,0.511574074074074,0,2
2022,1,0,1,0,0,21,4.427374301675978,52,89,32,21,0,394,0,0.0,0,14,0,0,1,0,1,-0.024196042053184916,0.4456617192331478,0,0
620,2,0,1,0,0,13,4.673469387755102,15,26,8,11,0,122,0,0.0,0,2,0,0,1,0,1,0.19,0.625,0,5473
202,2,0,0,0,0,3,4.903225806451613,4,9,8,1,0,41,0,0.0,0,0,0,0,0,0,1,-0.14821428571428572,0.4714285714285714,0,8
933,1,0,0,0,0,15,4.462025316455696,29,28,13,1,0,186,0,0.0,0,0,0,0,1,0,0,-0.08935574229691878,0.6196078431372549,0,220
606,0,0,0,0,0,19,4.681818181818182,8,24,10,18,0,125,0,0.0,0,0,0,0,0,0,1,0.3538461538461538,0.6384615384615384,0,3
349,1,0,0,0,0,5,4.278688524590164,12,14,5,4,0,71,0,0.0,0,3,0,0,1,0,1,0.1775,0.375,0,6
318,2,0,1,0,0,6,4.377358490566038,7,10,3,6,0,66,0,0.0,0,3,0,0,0,1,1,0.11984126984126985,0.5003968253968254,0,2
1103,2,0,0,3,0,16,4.555555555555555,30,34,18,4,0,216,0,0.0,0,4,0,0,1,0,1,0.2857142857142857,0.5339285714285714,0,6
1389,1,0,0,1,1,13,4.248995983935743,38,59,8,18,0,281,0,0.0,0,10,1,0,1,0,1,0.11363636363636363,0.43030303030303024,0,22
874,1,0,0,1,0,10,4.0375,26,45,9,10,0,185,0,0.0,0,3,0,0,1,0,1,0.008333333333333333,0.4708333333333334,0,18
